TITLE,LAST_CHAPTER,MAIN_URL
 Apotheosis,https://manganelo.com/manga/apotheosis,https://manganelo.com/chapter/apotheosis/chapter_671
 Martial Peak,https://manganelo.com/manga/martial_peak,https://manganelo.com/chapter/martial_peak/chapter_843
 Spirit sworn sovereign,https://manganelo.com/manga/spirit_sword_sovereign,https://manganelo.com/chapter/spirit_sword_sovereign/chapter_1
 Star martial god technique,https://manganelo.com/manga/dtdc220351567737255,https://manganelo.com/chapter/dtdc220351567737255/chapter_406
 Tales of Demons and Gods,https://manganelo.com/manga/hyer5231574354229,https://manganelo.com/chapter/hyer5231574354229/chapter_305.5
 Yuan Zan,https://manganelo.com/manga/yuan_zun,https://manganelo.com/chapter/yuan_zun/chapter_270.5
 tang yin zai yi,https://manganelo.com/manga/tang_yin_zai_yi_jie,https://manganelo.com/chapter/tang_yin_zai_yi_jie/chapter_378
 solo leveling,https://manganelo.com/manga/pn918005,https://manganelo.com/chapter/pn918005/chapter_131
 dr stone,https://manganelo.com/manga/dr_stone,https://manganelo.com/chapter/dr_stone/chapter_159
 hajime no ippo mkuno,https://manganelo.com/manga/read_hajime_no_ippo_manga,https://manganelo.com/chapter/read_hajime_no_ippo_manga/chapter_1321
 Battle through the Heavens and Against the Gods,https://manganelo.com/manga/read_doupo_cangqiong_manga,https://manganelo.com/chapter/read_doupo_cangqiong_manga/chapter_316
 eleceed,https://manganelo.com/manga/rc918344,https://manganelo.com/chapter/rc918344/chapter_87
 god of highschool,https://manganelo.com/manga/read_the_god_of_high_school_manga,https://manganelo.com/chapter/read_the_god_of_high_school_manga/chapter_493
 moshi fanren,https://manganelo.com/manga/moshi_fanren,https://manganelo.com/chapter/moshi_fanren/chapter_290
Rebirth Of The Urban Immortal Cultivator,https://manganelo.com/manga/gd920457,https://manganelo.com/chapter/gd920457/chapter_514
Black Clover,https://manganelo.com/manga/black_clover,https://manganelo.com/chapter/black_clover/chapter_264
 saihate_no_paladin,https://manganelo.com/manga/saihate_no_paladin,https://manganelo.com/chapter/saihate_no_paladin/chapter_29
My Girlfriend Is A Zombie,https://manganelo.com/manga/sc919613,https://manganelo.com/chapter/sc919613/chapter_128
